name,x,y,z
ST001,500.0,1000.0,0.0
ST002,552.6315789473684,1000.0,0.0
ST003,605.2631578947369,1000.0,0.0
ST004,657.8947368421052,1000.0,0.0
ST005,710.5263157894736,1000.0,0.0
ST006,763.1578947368421,1000.0,0.0
ST007,815.7894736842105,1000.0,0.0
ST008,868.421052631579,1000.0,0.0
ST009,921.0526315789473,1000.0,0.0
ST010,973.6842105263158,1000.0,0.0
ST011,1026.3157894736842,1000.0,0.0
ST012,1078.9473684210525,1000.0,0.0
ST013,1131.578947368421,1000.0,0.0
ST014,1184.2105263157896,1000.0,0.0
ST015,1236.842105263158,1000.0,0.0
ST016,1289.4736842105262,1000.0,0.0
ST017,1342.1052631578946,1000.0,0.0
ST018,1394.7368421052631,1000.0,0.0
ST019,1447.3684210526317,1000.0,0.0
ST020,1500.0,1000.0,0.0
